InputStoryid	story	rightanswer	wronganswer	cogcomp	jonbean	lizhongyang	mflor	msap	niko	rocnlp	roemmele	sjtuadapt	tbmihaylov	teampg	teamukp
a0769cd4-45a0-492c-a566-b14b9b17cba6	Ivy wanted a cell phone like all her friends. She saved up her money from delivering papers. Soon she had enough for a phone. She went shopping and selected the perfect phone.	She loved her new phone.	Amy spent all of her money on clothes.	1	1	1	1	1	1	1	1	1	1	1	1
d8079c78-7eda-4006-a7f5-993cc1456bcb	Miles was a roofer. He loved his job and was very good at it. However, one day he was not paying attention and fell off the roof. Luckily, he only broke his leg.	Miles decided that he needed to be more careful.	Miles got up and walked away.	1	1	1	1	1	1	1	1	1	1	1	1
606f2a0b-3565-4cf8-8b95-efc4196a5ef3	I was at the bar with some friends. It was my turn to buy a round. I went up to the bartender and asked him for 13 beers and a shot. He asked for my card and took my order.	He filled my order.	He told me to go to hell.	1	1	1	1	1	1	1	1	1	1	1	1
4970b8a1-f2b4-4cfd-85d0-0e93edbd86f7	Beth and Carol went out for Chinese. After dinner Beth opened up her fortune cookie. Beth was anticipating good fortune for the rest of the week. Beth called her later in the week to give her good news.	Beth had just won the lottery!	Beth's dog had been hit by a car!	1	1	1	1	1	1	1	1	1	1	1	1
7ac29522-a873-4083-832c-cf8fbbf3d1dd	Kara lost her dog yesterday. She freaked out. Frantic, Kara looked all over town for it. Finally she found the dog in her neighbor's yard.	Kara asked the neighbors not to put out dog treats in their yard.	Kara bought a pet cat and dyed it pink.	1	1	1	1	1	1	1	1	1	1	1	1
b58034b4-b513-4b73-86e5-57755b8fc4d2	Tim loved to swim with tuna deep in the ocean. He would never hurt or try to catch them. One day a fishing boat came to the home of the tuna. Tim tried to dive down the next day with the tuna.	He couldn't find the tuna.	He didn't look for the tuna.	1	1	1	1	1	1	1	1	1	1	1	1
65afbe34-fc9d-4834-88b0-64e40acf5a6e	Ellie watched the merry go round. She couldn't decide which animal to ride. There was a pink horse or a blue bunny. So she got on it twice.	Each time she rode a different animal making her happy.	Ellie cried both times because she didn't want to ride the ride.	1	1	1	1	1	1	1	1	1	1	1	1
71fbcabb-27b4-4449-a161-a8af8e3d4d8f	Maggie has a dog. She takes her dog for walks. They go to the park and play. When they come home Maggie feeds her dog.	Maggie and her dog are best friends.	Maggie hates to spend time with her smelly dog.	1	1	1	1	1	1	1	1	1	1	1	1
3f01b38e-acfc-4869-81ff-72aacca3364f	Today was the first day of fasting. I was in a bad mood since I couldn't eat anything. I tried to go to sleep however, it didn't go well. My friends offered food to me.	I gave in and accepted the food since I was hungry.	I did not find the food tempting at all.	1	1	1	1	1	1	1	1	1	1	1	1
76034386-c725-4321-9ce2-1e03d66240c6	I had always wanted to make a masterpiece. One day while drinking tea, I had an idea. I went to my computer to begin sketching. The idea came together for a great painting.	I made the painting and felt proud.	I could not come up with any ideas.	1	1	1	1	1	1	1	1	1	1	1	1
5b47e430-5091-4eb8-8302-47c19832a116	Shannon was sad, because she lost her necklace. She thought it might be at work or in her car. Shannon looked all over for the necklace. She didn't find it in the car or at work.	So Shannon decided to look for her necklace at home.	Shannon bought a dog to replace it.	1	1	1	1	1	1	1	1	1	1	1	1
45e967df-f624-4d7e-a2b5-70b6fc8ab280	Maya was walking home one night from work. She fumbled with her keys while trying to get into her car. Someone began approaching her from a dark alley. Frightened, she quickly got into her car and started it.	Maya felt scared.	Maya started to laugh.	1	1	1	1	1	1	1	1	1	1	1	1
62e0c771-4e9f-4b38-bab5-b24b9636d34f	Anna and Liv were in a contest to see who could a better math grade. Anna studied at least 5 nights every week for the whole semester. Liv, who was much better in math, studied only three or four times. Anna received a grade of 99 and Live only got a 93.	Anna was proud of her hard work paying off.	Anna was upset about doing poorly.	1	1	1	1	1	1	1	1	1	1	1	1
723bb352-5879-4290-8042-3b26234616cc	Pam was in love with Josh but she didn't know how to get his attention. She talked to her friends, and she talked to her parents. They all offered advice that didn't quite work for her. Finally, she just went up to him and told him her feelings.	Josh revealed he was in love with Pam too.	Pam's friends won't talk to her anymore.	1	1	1	1	1	1	1	1	1	1	1	1
e1964379-b060-4ac9-8328-aa5bacb173a0	I played in a fantasy basketball league this season. I've played fantasy football but never fantasy basketball before. I don't like it as much as football because there are too many games. The season is longer and it's basically down to pure luck to win.	I called my friend who loves basketball and asked him for help.	I decided to drink some margaritas that night.	1	1	1	1	1	1	1	1	1	1	1	1
a4fec03f-9145-4d04-a93a-72ec32d3e46a	"For months, Jill was asking her parents if they could adopt a cat. Her mom and dad would always say, maybe some day. Then, for her birthday, Jill asked them again, can we get a cat? Her mom and dad responded, ""go check in your room."""	Sitting on her bed was a small, grey kitten.	Jill ran for president.	1	1	1	1	1	1	1	1	1	1	1	1
d960b283-4e42-4349-9bc6-17149e98289e	Gina and Tami stood in the hallway talking. Gina had been tripped by a bully at recess. Tami wanted her to tell a teacher. Gina wasn't sure if this was the way to handle a bully.	Gina changed her mind after the bully walked by and hit her.	Gina got her pilot's license the next day.	1	1	1	1	1	1	1	1	1	1	1	1
e476fa34-33bb-40f5-a6c7-cb8ff8ec1aba	Don wanted some excitement one day. He had never skated before, so he wanted to try that. Don found a local skating rink in town. Don drove to the skating rink with his new skates.	Don had a great time skating for the first time.	Don went to eat chicken wings.	1	1	1	1	1	1	1	1	1	1	1	1
a0342429-43a0-46e2-b3ca-2166bd1be7bf	My aunt is a huge marine life lover. She constantly watches documentaries. My uncle decided to surprise her for her birthday. He took her whale watching.	She loved it.	She hated it.	1	1	1	1	1	1	1	1	1	1	1	1
369bf95c-c21c-4301-aaa0-ec59b1f816aa	Rebecca always works very late to get all of her work done. She hopes that the company president notices her hard work. Finally it is announced that Rebecca will be promoted. She cries happy tears knowing that her work is recognized.	She called her parents right away to share the good news.	She was so embarrassed she didn't tell anyone.	1	1	1	1	1	1	1	1	1	1	1	1
8ada6bec-d05a-461f-bdf6-2f57a73c4444	Felipe had always wanted to try making grits, but hadn't tried. Finally he asked his friend Jasper to help him cook grits one day. They followed each step of the recipe closely. Felipe tried the grits and they were delicious.	Felipe wanted to make grits more often.	Felipe didn't like grits.	1	1	1	1	1	1	1	1	1	1	1	1
9b879208-2e67-47e5-98e5-ea99f1d8d314	Kelly was going swimming in the ocean yesterday. She had fun and loved the water. Unfortunately something terrible happened. To her surprise her earring was gone.	It took some time, but Kelly found her earring again.	The earring had come into the possession of a traveling merchant.	1	1	1	1	1	1	1	1	1	1	1	1
a6918937-3d5b-4759-9786-8c36514405f6	Todd was tech savvy. He always had the latest of every gadget. He went to the local electronics store to browse. He eyed a new drone model that was just released.	He bought the drone.	He didn't like drones.	1	1	1	1	1	1	1	1	1	1	1	1
9d27e9f6-6abc-4a6f-84f9-9000e3418e9f	Missy bought a ticket to the carnival. She went in and looked around, open mouthed. She loved all the games and rides! She spent the whole day having a great time.	Missy decided to go back to the carnival the next day.	Missy vowed never to go back to the carnival again.	1	1	1	1	1	1	1	1	1	1	1	1
6699c9c3-711d-4942-bfe8-5d89843c7ccf	Jim bought a frozen pizza from the store for dinner. He got home and threw it into the freezer. When he went to cook it he realized it was ruined. He went back to the store and exchanged it for another.	Jim cooked the pizza as soon as he got home.	Jim had always detested pizza.	1	1	1	1	1	1	1	1	1	1	1	1
7895ca4b-2d01-4f53-aabd-43fb51e2ac57	Ian was continuously late for work. He almost always showed up 20 or 30 minutes late. His boss let it slide at first, because he was a good worker. Eventually, his team decided to get In a new alarm clock.	He finally was able to be on time.	Ian threw it away.	1	1	1	1	1	1	1	1	1	1	1	1
19736453-2a6b-4b4f-ba29-8c93ad4bf712	Tom was spending too much money on bottled water. So he decided to buy a water filter for his kitchen faucet. It was expensive. But it would save him money in the long run.	Tom enjoyed the taste of the filtered water.	Tom drank water directly from his kitchen faucet.	1	1	1	1	1	1	1	1	1	1	1	1
9670f1f2-4b1e-4a22-9ba0-8d67f2c8b344	Billy was 6, and just learning to read. His parents took him to the library. Billy was amazed how many books there were! They stood in line for his library card.	Billy picked up several books to take with him.	Billy gave up reading.	1	1	1	1	1	1	1	1	1	1	1	1
d47b8a60-b739-47d7-9ed9-2fad8f96d100	Mike was very sleepy and hungry. But he had to stay up to finish work. He thought eating food would help him stay up longer. So he put some bread in his toaster.	When it was done he put in some butter and ate it.	He couldn't figure out what to eat.	1	1	1	1	1	1	1	1	1	1	1	1
149149c3-7e9e-4c95-a104-785d637194bd	I heard that dog parks were good for dogs. One day, I decided to get my dog and go to the park. I put my dog on a leash and got in the car. We finally arrived at the neighborhood park.	My dog seemed to really enjoy the experience, so we went more.	I then turned around drove back home.	1	1	1	1	1	1	1	1	1	1	1	1
d87fc33f-2646-458c-b84f-11223dab54d1	Sara decided to go for a run. She laced up her sneakers and headed out the door. As she was jogging down the street she slipped on some ice. She badly injured her leg.	Sara stood up and limped back home.	Sara jogged without any incidents.	1	1	1	1	1	1	1	1	1	1	1	1
10022d2d-3959-4c7f-bf5a-58814aa1b5b3	Two bowling teams were set to play a game against each other. The one team all took out their balls and polished them. They got their balls to shine intensely. The lights of the alley bounced off the balls.	The balls looked amazing.	The balls were quite dull.	1	1	1	1	1	1	1	1	1	1	1	1
482ec573-3963-4b80-a118-550713f2848f	Paul put money in the bank! He wanted to save a lot! He really wanted to take money out too! He decided he should save the money.	He saved for a year and never spent any.	He took it all out and threw it in the trash.	1	1	1	1	1	1	1	1	1	1	1	1
00115125-5ba4-4d2d-b86c-99343afa7c59	Kelly was super excited for the new drawing at work. She was hoping she could win the new iPad. She put her name in and crossed her fingers. Luckily her name was picked.	She was happy she won.	She was very disappointed.	1	1	1	1	1	1	1	1	1	1	1	1
37913cf9-4ec7-4506-9268-ba29b4bbef57	Brenda wanted to learn how to swim. So she took swimming lessons at a local college. Her instructor noticed that she had potential. And he encouraged her to join a swimming team.	Brenda started to compete after joining the team.	Brenda did not like the instructors negative attitude.	1	1	1	1	1	1	1	1	1	1	1	1
b8d4e550-9f01-4ccd-8fb4-a607a46dfaf6	I used to store my unread books on the floor. Today I decided to organize them. I cleaned out a row on my book case. I transported about 10 books to the shelf.	Now my books are organized.	My books are very disorganized.	1	1	1	1	1	1	1	1	1	1	1	1
ea2f808c-3e83-41c2-867f-97e520aca85e	Tina went to the park to go on a run. It was a glorious day outside as she ran across the field. She stopped at a bench to take a rest. A butterfly landed on her hand.	Tina admired the butterfly.	Tina jumped on a train.	1	1	1	1	1	1	1	1	1	1	1	1
d635a064-5b57-4742-a6f3-bf22329d4ca7	Ana was grilling chicken for a picnic lunch outside. Suddenly she had a yen for sweet fresh corn to accompany the meal. She went through the fields behind her house and picked a few ears. Then she brought them back and buttered and grilled them.	The corn was delicious.	Ana hated corn.	1	1	1	1	1	1	1	1	1	1	1	1
a915b1da-42ae-4075-af49-35cc3305e982	My parents needed to buy a new television. They went to the electronic's store. They were overwhelmed by the choices but found someone to help. He made their decision easier with his answers.	Now they can really enjoy their favorite shows and movies.	My parents bought a purple van with flowers on it.	1	1	1	1	1	1	1	1	1	1	1	1
a891db65-ae8c-4f0c-823d-909a2f045191	Theodore was taking a typing class. He worked very hard on learning to type quickly. He was sure he wasn't moving as fast as he should. The day of the test came, and Theodore was nervous.	Theodore passed the test.	Theodore welcomed competition.	1	1	1	1	1	1	1	1	1	1	1	1
e6a776b4-5db6-4459-bd72-30e0a6894128	One night Tom and Allie went for a walk to the general store. They had to walk along a winding highway through the woods. Along the way, they talked about their various memories and interests. When they got there, they bought some snacks and sat outside.	Tom recalled how great it was to have met Allie.	Tom recalled how he had never liked Allie.	1	1	1	1	1	1	1	1	1	1	1	1
b3393976-0842-44a5-9a91-76170907f41f	It���s very quiet at night with no nurses running around the hospital. Only the constantly humming machine beside my bed comforts me. The machine has become my life. Life has become very simple now with an uncomplicated goal.	I just want to survive.	I can't wait to go on vacation tomorrow.	1	1	1	1	1	1	1	1	1	1	1	1
0896e674-6572-4bc9-b977-e2c097846f39	It was my first time ever playing football and I was so nervous. I had never been tackled before. I hoped it would not hurt. During the game, I got tackled and it did not hurt at all!	From then on, I felt more confident playing football.	I realized playing baseball was really a lot of fun.	1	1	1	1	1	1	1	1	1	1	1	1
01de6bc3-2192-4a63-abb9-ddd17f66abbd	Nita had a perfect Halloween witch costume. But it was chilly out and she needed a jacket. She did not want to ruin her great costume with a plain jacket! She asked her mom for help, and her mom made her a blanket 'cloak'.	Nita was pleased she could show off her costume and keep warm.	Nita stripped down to her skivvies and ran outside that way.	1	1	1	1	1	1	1	1	1	1	1	1
4a6f5b52-4884-46ad-a9ec-4d84c2f9cd6f	Mia was making brownies for a party. She just used a boxed mix. The brownies turned out pretty good. At the last minute, she added frosting to the top of them.	Now they were awesome.	Everybody loved the hot dogs.	1	1	1	1	1	1	1	1	1	1	1	1
ec57dac8-7808-4cec-9671-40abbf0807a1	Iris was supposed to bring wine to dinner. She went to the liquor store. She browsed the wine selection. Then she found a great bottle of wine to bring.	Iris purchased the wine.	Iris purchased a case of beer.	1	1	1	1	1	1	1	1	1	1	1	1
afcde7d6-9871-4373-9610-5ead4df9c401	Sasha loved writing from an early age. In her twenties she begins writing a novel and finishes it. Sasha decides to self-publish on amazon. Her book is sold through the kindle marketplace.	She was pleased that she sold several copies.	She was disappointed that she never finished.	1	1	1	1	1	1	1	1	1	1	1	1
f80b0a47-21cb-499f-aa62-d907a2c520fd	Larry spent a long time finding a spot to put up his hammock. He spent even longer actually putting it up. After it was up he tried laying in it. He kept falling out, though.	Larry was bruised after a while.	Larry hated sandwiches.	1	1	1	1	1	1	1	1	1	1	1	1
1d7f87b8-0409-4313-9e30-067aa818b9a8	Mary decided to take her husband to a football game. When they arrived to the front, they gave their tickets away. They sat in the second to last row in the front. Although their favorite team was losing, they had a good time.	Mary decided to take her husband to the game again next week.	Mary decided never to take her husband anywhere again.	1	1	1	1	1	1	1	1	1	1	1	1
49afd905-58fc-4114-a6aa-90d686f3578e	Dan and Carol met as manager trainees at a fast food restaurant. They were sent to further training in a town three hours away. They decided to drive together to save on costs. Talking in the car for hours each way, they got to know each other.	By the time they got to the training, they felt like friends.	Carol asked Dan to buy her a box of Kleenex.	1	1	1	1	1	1	1	1	1	1	1	1
bf4ea690-b2c5-4c11-a732-2228bc4eef56	Ben wanted to sell his rocking chair. He had it for 20 Years. He dusted it off and put a for sale sign on it. He placed it in his yard so people would see.	Later that day, Ben sold his chair for $50.	Ben decided to keep the chair instead.	1	1	1	1	1	1	1	1	1	1	1	1
fbced885-a0ad-4340-aac1-55b926af7c0a	Arthur fell asleep while smoking one night. The cigarette but was still lit and fell on the floor. It rolled to the curtains and caught them on fire. Eventually his whole house burned down.	Arthur died in the fire.	Arthur was proud of what he had done.	1	1	1	1	1	1	1	1	1	1	1	1
17447bac-e483-46e8-b435-5374dcbd96ac	Mark and Andy worked at a pizzeria. They both loved to make pizza. One day they decided to open up their own pizzeria. The pizzeria became very busy and profitable.	Their business became a success.	Their business failed.	1	1	1	1	1	1	1	1	1	1	1	1
8ccca07a-6236-40bc-87d0-95a50c7de6ae	Trisha's son got sick last night at eight. He vomited all over her and the floor. Trisha cleaned up and changed his clothes. He continued to be sick over and over again.	Trisha made the child sleep on the kitchen floor with a blanket.	Trisha let the children decorate the tree with popcorn.	1	1	1	1	1	1	1	1	1	1	1	1
3ef628ad-9066-4712-bd4f-aa47ccfcc117	My exam was a week from now. I decided to study today so I can understand the material better. A few days passed and I've spent a couple of hours studying. Unfortunately I caught a during the day before the exam.	Hopefully I be able to get through the exam.	I decided to jump rope for the final test.	1	1	1	1	1	1	1	1	1	1	1	1
3143fe60-f08d-4408-b30a-a0463ad4ffbe	Lee wanted to give his mom a nice gift for her birthday. But he had no money! So he decided to make her a card and cake. He put in lots of time and effort.	Lee's mom was very happy when she received it.	Lee's mom hated it.	1	1	1	1	1	1	1	1	1	1	1	1
dd101579-96e4-4840-9e33-9bb4ce3c18ab	Jamie's friends at school always told her baseball was a boys sport. However, Jamie loved baseball more than any other activity. So Jamie practiced baseball no matter what the others said. Soon she was the best baseball player at school.	No one made fun of Jamie and her love of baseball again.	Jamie decided she didn't like baseball anymore.	1	1	1	1	1	1	1	1	1	1	1	1
b9ae260c-6981-431f-8492-a5ca05cd89df	It was midnight, and Lynn's family was asleep. Lynn and her friends decided to meet some boys at the park. They decided it would be dangerous to sneak out her room window. So they went to the basement.	Lynn and her friends snuck out of the basement door.	Lynn decided to stay home and play a game.	1	1	1	1	1	1	1	1	1	1	1	1
a9f0d935-3091-4a42-b941-d059adad0c62	Ara was in the school choir. Her leader offered her a solo in the school play. Ara was nervous but thrilled. She practiced every day for weeks.	Ara got a standing ovation for her solo.	Ara refused her solo.	1	1	1	1	1	1	1	1	1	1	1	1
ee11f7b0-abf1-4c6f-adae-62bdba33fafe	Ted was playing tennis with his big brother. He always lost, but today he was determined to win. He concentrated hard and did his best. And Ted ended up winning the match!	Ted was proud of his efforts.	Ted wondered about the strange smell emanating from the table.	1	1	1	1	1	1	1	1	1	1	1	1
2e8b02e4-a7b3-48da-9006-af7f892ea0a1	Martha wanted to win the big spelling bee at school. She got a word list from her teacher and practiced every day. The big day finally came, and Martha won the spelling bee! She got a trophy, and her picture was in the newspaper!	Martha was very proud of her accomplishment.	Martha was upset about losing.	1	1	1	1	1	1	1	1	1	1	1	1
fddf7d4c-fc2c-4970-b565-aecc6c1525d2	I wanted to eat a particular cereal for breakfast. I found that I had run out of that particular brand of cereal. I went to a store to buy some more. The store was also out of that brand and I had to buy another.	I liked the new brand that I bought.	I don't like cereal.	1	1	1	1	1	1	1	1	1	1	1	1
55bdc3b0-c503-4510-ad9e-54d24fbb79da	Loo had a red box he kept pebbles he collected in. One day Loo went out to play with his friends. When he came back home he could not find his box. Loo asked his friends to help him find it.	Loo and his friends found the box.	Loo didn't want the box anymore.	1	1	1	1	1	1	1	1	1	1	1	1
9cefb977-dc4b-4f8c-8ae6-c31ac951f1a0	My friend had a bachelor party before her wedding. A group of us got together and went out on the town. We had dinner and drinks at a Mexican restaurant. We then got in a limo and went bar hopping.	We had a great time.	We had an uneventful night.	1	1	1	1	1	1	1	1	1	1	1	1
0a269589-dc3d-44f5-8b96-464f0de6c8d4	Haley was doing gymnastics after school. She stayed longer than everyone else. During a tumble she fell and hurt her neck. There was nobody there to help.	Haley screamed until a teacher came and helped her.	Haley continued to perform gymnastics until her mom came.	1	1	1	1	1	1	1	1	1	1	1	1
ce834cd4-783a-4891-84f7-4db755268b92	Cassie always wanted to be an actress. She had some experience as a child doing plays at school. One day, she saw an ad in the paper for auditions at the theater. She got her nerve up and went to the casting call the next day.	To Cassie's surprise they gave her a call back.	Cassie joined the army.	1	1	1	1	1	1	1	1	1	1	1	1
b66b48ed-c518-414b-8364-3af6ba3f81eb	Timmy was a little excited about having a baby sister. His parents let him pick out some baby names. He really wanted the baby to be named Jenna but his Mom liked Amy. When the big day finally came he stayed with his grandparents.	He jumped for joy when his mother brought his sister home.	He decided to stay there instead of going home.	1	1	1	1	1	1	1	1	1	1	1	1
4592cfc4-9dad-488f-b2e9-9a0fadf765ad	Katie decided it would be fun to dye some Easter eggs. She got her siblings together and they started dying a dozen. The chose all different colors. When they were done they looked beautiful.	They were proud of their eggs.	They were sad about the eggs.	1	1	1	1	1	1	1	1	1	1	1	1
fdc5a363-9a73-4893-8ce1-dd663a752820	Gina's extended family was fighting another family. They were in a park, and someone called the police. The police cars drove up fast with their sirens blaring. They jumped out of the cars and began to run towards them.	The police broke up the fight and questioned everyone.	They gave them all ice cream cones with sprinkles.	1	1	1	1	1	1	1	1	1	1	1	1
d4658ee8-28bd-414b-9bb2-7874a6facec5	The Waltons hadn't had a vacation in Years. This last summer they decided to drive to the beach. The family drove for hours and stopped a few times along the way. They spent five days at a nice hotel at the beach.	The Waltons were very relaxed.	The Waltons felt extremely stressed.	1	1	1	1	1	1	1	1	1	1	1	1
585f3fd6-15e4-4511-bf0a-1656562bb849	Rachel's mother always made her and the kids Kool-Aid. One day Rachel was very thirsty. She decided to make herself Kool-Aid for the first time. She dumped the package in water and stirred it up and took a sip.	She realized she mixed in too much water and it tasted bad.	She realized a hotdog would be great instead.	1	1	1	1	1	1	1	1	1	1	1	1
1ba6bf44-f8fc-472f-a14f-98fcbe601e1c	Tyler needed some extra spending money. He began looking for after school jobs. Finally he found a job at the local cafe. He makes coffee and bagels for customers.	He likes all the money he has now.	He had fun golfing.	1	1	1	1	1	1	1	1	1	1	1	1
7d56d5f0-f6a2-4298-9779-9f4922f328ae	Gomez loves Halloween. He wanted to enter a costume contest. For his costume, he decided to be Mickey Mouse. The contest had a Disney theme.	He won the contest.	Gomez is ashamed of what he has done.	1	1	1	1	1	1	1	1	1	1	1	1
31759123-0873-4010-9145-8b4d93a6d8ee	George had to go to court. He had to pay a parking ticket. He arrived at his local city council. He waited in line.	Eventually, George was able to pay the ticket.	George decided to spend the money on a new hat instead.	1	1	1	1	1	1	1	1	1	1	1	1
67652b43-4d69-41bd-9477-325361ffa0c8	Pam was looking for a house to buy. After a few months of looking, she finally found a house she loved. However, it was a little too expensive. Pam tried to talk down the price, and succeeded.	Pam finally bought the house.	Pam became homeless.	1	1	1	1	1	1	1	1	1	1	1	1
c03e5182-6bad-488f-b714-299ad5b30733	On the fourth of July, Lilly baked a lemon blueberry cake. She brought it to her boyfriend's house and they had a bbq. After dinner they drove into the city to watch fireworks. When the show was over, they got donuts from a food truck.	Lilly had a wonderful time.	Lilly had a terrible date.	1	1	1	1	1	1	1	1	1	1	1	1
c34fff03-3723-479b-8149-c8e547f73c67	Jake was swimming in his backyard. All of a sudden his pool burst open. There was a hole on the side of his pool. All the water leaked out of the pool.	Jake was very upset.	Jake was very happy.	1	1	1	1	1	1	1	1	1	1	1	1
b168c328-d09d-46b9-9a80-1a190f6630b2	Tia decided her kids were drinking too much sugar. She decided to cut out soda pop. Instead, she began to make sugar-free Kool-Aid for them. At first they complained about the change.	Later, once Tia's kids were used to the taste, they acclimated.	Later, Tia's kids joined a rugby league with snazzy uniforms.	1	1	1	1	1	1	1	1	1	1	1	1
781ab439-5960-4cae-8dbd-e641ac5abfb7	Ed was nervous about starting high school. He tried to reassure himself. He showed up the first day smiling and friendly. He made lots of friends quickly.	Ed was relieved.	Ed found highschool negative.	1	1	1	1	1	1	1	1	1	1	1	1
f3899348-2d0b-4bc1-b237-c93bccf678c3	Ana was playing basketball when her finger started hurting. An hour later, she was unable to move it. Her mother told her she was overreacting. Later that night, she was in so much pain she couldn't sleep.	Her mother took her to the emergency room to have it checked.	Ana decided to spin the basketball on her finger.	1	1	1	1	1	1	1	1	1	1	1	1
